Carga,Tempo (ms),Carga %,Tempo (min)
100.0,102,100.0%,0.0017
99.9,211,99.9%,0.0035166666666666666
99.8,321,99.8%,0.00535
99.8,431,99.8%,0.007183333333333333
99.7,540,99.7%,0.009
99.7,651,99.7%,0.01085
99.6,760,99.6%,0.012666666666666666
99.6,870,99.6%,0.0145
99.5,979,99.5%,0.016316666666666667
99.5,1089,99.5%,0.01815
99.4,1199,99.4%,0.019983333333333332
99.4,1309,99.4%,0.021816666666666668
99.3,1419,99.3%,0.02365
99.3,1528,99.3%,0.025466666666666665
99.2,1639,99.2%,0.027316666666666666
99.2,1748,99.2%,0.029133333333333334
99.1,1858,99.1%,0.030966666666666667
99.1,1969,99.1%,0.03281666666666667
99.0,2078,99.0%,0.034633333333333335
99.0,2188,99.0%,0.03646666666666667
98.9,2298,98.9%,0.0383
98.9,2408,98.9%,0.04013333333333333
98.8,2518,98.8%,0.041966666666666666
98.8,2627,98.8%,0.043783333333333334
98.7,2738,98.7%,0.04563333333333333
98.7,2847,98.7%,0.04745
98.6,2957,98.6%,0.04928333333333333
98.6,3067,98.6%,0.051116666666666664
98.5,3177,98.5%,0.05295
98.5,3287,98.5%,0.05478333333333334
98.4,3397,98.4%,0.05661666666666667
98.4,3507,98.4%,0.05845
98.3,3616,98.3%,0.06026666666666667
98.3,3727,98.3%,0.06211666666666667
98.2,3836,98.2%,0.06393333333333333
98.2,3946,98.2%,0.06576666666666667
98.1,4056,98.1%,0.0676
98.1,4166,98.1%,0.06943333333333333
98.0,4276,98.0%,0.07126666666666667
98.0,4385,98.0%,0.07308333333333333
97.9,4496,97.9%,0.07493333333333334
97.9,4605,97.9%,0.07675
97.8,4715,97.8%,0.07858333333333334
97.8,4826,97.8%,0.08043333333333333
97.7,4935,97.7%,0.08225
97.7,5046,97.7%,0.0841
97.6,5155,97.6%,0.08591666666666667
97.6,5265,97.6%,0.08775
97.5,5376,97.5%,0.0896
97.5,5485,97.5%,0.09141666666666666
97.4,5595,97.4%,0.09325
97.4,5705,97.4%,0.09508333333333334
97.3,5815,97.3%,0.09691666666666666
97.3,5924,97.3%,0.09873333333333334
97.2,6035,97.2%,0.10058333333333333
97.2,6145,97.2%,0.10241666666666667
97.1,6254,97.1%,0.10423333333333333
97.1,6365,97.1%,0.10608333333333334
97.0,6474,97.0%,0.1079
97.0,6584,97.0%,0.10973333333333334
96.9,6693,96.9%,0.11155
96.9,6804,96.9%,0.1134
96.8,6914,96.8%,0.11523333333333333
96.8,7023,96.8%,0.11705
96.7,7134,96.7%,0.1189
96.7,7243,96.7%,0.12071666666666667
96.6,7353,96.6%,0.12255
96.6,7463,96.6%,0.12438333333333333
96.5,7573,96.5%,0.12621666666666667
96.5,7683,96.5%,0.12805
96.4,7793,96.4%,0.12988333333333332
96.4,7903,96.4%,0.13171666666666668
96.3,8012,96.3%,0.13353333333333334
96.3,8123,96.3%,0.13538333333333333
96.2,8232,96.2%,0.1372
96.2,8342,96.2%,0.13903333333333334
96.1,8453,96.1%,0.14088333333333333
96.1,8562,96.1%,0.1427
96.0,8672,96.0%,0.14453333333333335
96.0,8781,96.0%,0.14635
95.9,8892,95.9%,0.1482
95.9,9001,95.9%,0.15001666666666666
95.8,9111,95.8%,0.15185
95.8,9222,95.8%,0.1537
95.7,9331,95.7%,0.15551666666666666
95.7,9441,95.7%,0.15735
95.6,9551,95.6%,0.15918333333333334
